--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 42.88, offset_x_cm for ac: -329.52
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 43.88, offset_x_cm for ac: -328.98
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 44.88, offset_x_cm for ac: -328.43
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 45.88, offset_x_cm for ac: -327.89
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 46.88, offset_x_cm for ac: -327.35
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 47.88, offset_x_cm for ac: -326.80
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 48.88, offset_x_cm for ac: -326.26
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 49.88, offset_x_cm for ac: -325.73
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 50.88, offset_x_cm for ac: -325.19
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 51.88, offset_x_cm for ac: -324.65
send offset to actuator, count:30, delta_loop_time: 10, offset_y_cm from origin: 52.88, offset_x_cm for ac: -324.12
send offset to actuator, count:31, delta_loop_time: 11, offset_y_cm from origin: 41.38, offset_x_cm for ac: -323.65
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 42.38, offset_x_cm for ac: -323.11
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 43.38, offset_x_cm for ac: -322.57
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 44.38, offset_x_cm for ac: -322.03
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 45.38, offset_x_cm for ac: -321.50
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 46.38, offset_x_cm for ac: -320.96
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 47.38, offset_x_cm for ac: -320.43
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 48.38, offset_x_cm for ac: -319.90
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 49.38, offset_x_cm for ac: -319.37
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 50.38, offset_x_cm for ac: -318.84
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 51.38, offset_x_cm for ac: -318.31
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 52.38, offset_x_cm for ac: -317.78
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 53.38, offset_x_cm for ac: -317.26
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 54.38, offset_x_cm for ac: -316.73
send offset to actuator, count:31, delta_loop_time: 10, offset_y_cm from origin: 55.38, offset_x_cm for ac: -316.21
send offset to actuator, count:32, delta_loop_time: 11, offset_y_cm from origin: 43.68, offset_x_cm for ac: -315.75
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 44.68, offset_x_cm for ac: -315.23
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 45.68, offset_x_cm for ac: -314.71
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 46.68, offset_x_cm for ac: -314.18
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 47.68, offset_x_cm for ac: -313.66
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 48.68, offset_x_cm for ac: -313.14
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 49.68, offset_x_cm for ac: -312.62
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 50.68, offset_x_cm for ac: -312.11
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 51.68, offset_x_cm for ac: -311.59
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 52.68, offset_x_cm for ac: -311.07
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 53.68, offset_x_cm for ac: -310.56
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 54.68, offset_x_cm for ac: -310.05
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 55.68, offset_x_cm for ac: -309.54
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 56.68, offset_x_cm for ac: -309.02
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 57.68, offset_x_cm for ac: -308.51
send offset to actuator, count:32, delta_loop_time: 10, offset_y_cm from origin: 58.68, offset_x_cm for ac: -308.01
send offset to actuator, count:33, delta_loop_time: 11, offset_y_cm from origin: 48.34, offset_x_cm for ac: -307.56
