--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀t_y_cm from origin: -14.70, offset_x_cm for ac: -24.60
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.70, offset_x_cm for ac: -13.19
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.20, offset_x_cm for ac: -13.16
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 4.69, offset_x_cm for ac: -13.22
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 4.29, offset_x_cm for ac: -13.19
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.89, offset_x_cm for ac: -13.16
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.49, offset_x_cm for ac: -13.13
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.09, offset_x_cm for ac: -13.10
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.59, offset_x_cm for ac: -13.07
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.19, offset_x_cm for ac: -13.04
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.79, offset_x_cm for ac: -13.01
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.39, offset_x_cm for ac: -12.98
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.99, offset_x_cm for ac: -12.96
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 5.40, offset_x_cm for ac: -12.98
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 5.00, offset_x_cm for ac: -12.92
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 4.60, offset_x_cm for ac: -12.86
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 4.20, offset_x_cm for ac: -12.79
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.80, offset_x_cm for ac: -12.73
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.40, offset_x_cm for ac: -12.66
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.00, offset_x_cm for ac: -12.60
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.60, offset_x_cm for ac: -12.54
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.10, offset_x_cm for ac: -12.48
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.70, offset_x_cm for ac: -12.42
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 4.73, offset_x_cm for ac: -12.45
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 4.33, offset_x_cm for ac: -12.41
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.93, offset_x_cm for ac: -12.38
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.53, offset_x_cm for ac: -12.35
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.13, offset_x_cm for ac: -12.31
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.73, offset_x_cm for ac: -12.28
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.33, offset_x_cm for ac: -12.25
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.83, offset_x_cm for ac: -12.21
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.43, offset_x_cm for ac: -12.18
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.03, offset_x_cm for ac: -12.15
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.62, offset_x_cm for ac: -12.12
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.23, offset_x_cm for ac: -12.09
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.62send offset to actuator, offset_y_cm from origin: 4.97, offset_x_cm for ac: -12.12
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.67send offset to actuator, offset_y_cm from origin: 4.57, offset_x_cm for ac: -12.08
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 4.17, offset_x_cm for ac: -12.04
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.77, offset_x_cm for ac: -11.99
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 3.27, offset_x_cm for ac: -11.95
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.87, offset_x_cm for ac: -11.91
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.47, offset_x_cm for ac: -11.86
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 2.07, offset_x_cm for ac: -11.82
, temp_vel: 0.50, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.67, offset_x_cm for ac: -11.78
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 1.27, offset_x_cm for ac: -11.74
, temp_vel: 0.45, cutoff: 8.00, tau: 0.02, alpha: 0.64send offset to actuator, offset_y_cm from origin: 0.87, offset_x_cm for ac: -11.70
