--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀381.00, hokan nasi offset_x_cm for ac: 0.00, offset_x_cm for ac: 0.00, filterd_offset_x_cm: 0.00
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32319, curr_params.time_get_image: 15577, offset_y_cm from origin: 49.04, hokan nasi offset_x_cm for ac: -41.74, offset_x_cm for ac: -42.52, filterd_offset_x_cm: -42.49
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -40.75, current_time_ms: 32331, curr_params.time_get_image: 15577, offset_y_cm from origin: 50.04, hokan nasi offset_x_cm for ac: -41.72, offset_x_cm for ac: -42.53, filterd_offset_x_cm: -42.50
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32343, curr_params.time_get_image: 15805, offset_y_cm from origin: 30.24, hokan nasi offset_x_cm for ac: -42.03, offset_x_cm for ac: -41.95, filterd_offset_x_cm: -42.34
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32355, curr_params.time_get_image: 15805, offset_y_cm from origin: 31.24, hokan nasi offset_x_cm for ac: -42.16, offset_x_cm for ac: -42.13, filterd_offset_x_cm: -42.29
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32367, curr_params.time_get_image: 15805, offset_y_cm from origin: 32.24, hokan nasi offset_x_cm for ac: -42.27, offset_x_cm for ac: -42.28, filterd_offset_x_cm: -42.29
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32379, curr_params.time_get_image: 15805, offset_y_cm from origin: 34.24, hokan nasi offset_x_cm for ac: -42.36, offset_x_cm for ac: -42.45, filterd_offset_x_cm: -42.33
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32391, curr_params.time_get_image: 15805, offset_y_cm from origin: 35.24, hokan nasi offset_x_cm for ac: -42.45, offset_x_cm for ac: -42.57, filterd_offset_x_cm: -42.39
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32403, curr_params.time_get_image: 15805, offset_y_cm from origin: 37.24, hokan nasi offset_x_cm for ac: -42.51, offset_x_cm for ac: -42.70, filterd_offset_x_cm: -42.48
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32415, curr_params.time_get_image: 15805, offset_y_cm from origin: 38.24, hokan nasi offset_x_cm for ac: -42.57, offset_x_cm for ac: -42.80, filterd_offset_x_cm: -42.57
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32427, curr_params.time_get_image: 15805, offset_y_cm from origin: 40.24, hokan nasi offset_x_cm for ac: -42.62, offset_x_cm for ac: -42.91, filterd_offset_x_cm: -42.66
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32439, curr_params.time_get_image: 15805, offset_y_cm from origin: 41.24, hokan nasi offset_x_cm for ac: -42.66, offset_x_cm for ac: -42.98, filterd_offset_x_cm: -42.75
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32451, curr_params.time_get_image: 15805, offset_y_cm from origin: 43.24, hokan nasi offset_x_cm for ac: -42.70, offset_x_cm for ac: -43.08, filterd_offset_x_cm: -42.84
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32463, curr_params.time_get_image: 15805, offset_y_cm from origin: 44.24, hokan nasi offset_x_cm for ac: -42.73, offset_x_cm for ac: -43.15, filterd_offset_x_cm: -42.92
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32475, curr_params.time_get_image: 15805, offset_y_cm from origin: 46.24, hokan nasi offset_x_cm for ac: -42.75, offset_x_cm for ac: -43.23, filterd_offset_x_cm: -43.01
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32487, curr_params.time_get_image: 15805, offset_y_cm from origin: 47.24, hokan nasi offset_x_cm for ac: -42.77, offset_x_cm for ac: -43.29, filterd_offset_x_cm: -43.08
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32499, curr_params.time_get_image: 15805, offset_y_cm from origin: 49.24, hokan nasi offset_x_cm for ac: -42.79, offset_x_cm for ac: -43.37, filterd_offset_x_cm: -43.16
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32511, curr_params.time_get_image: 15805, offset_y_cm from origin: 50.24, hokan nasi offset_x_cm for ac: -42.80, offset_x_cm for ac: -43.41, filterd_offset_x_cm: -43.23
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32523, curr_params.time_get_image: 15805, offset_y_cm from origin: 52.24, hokan nasi offset_x_cm for ac: -42.82, offset_x_cm for ac: -43.49, filterd_offset_x_cm: -43.30
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32535, curr_params.time_get_image: 15805, offset_y_cm from origin: 53.24, hokan nasi offset_x_cm for ac: -42.83, offset_x_cm for ac: -43.53, filterd_offset_x_cm: -43.36
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32547, curr_params.time_get_image: 15805, offset_y_cm from origin: 55.24, hokan nasi offset_x_cm for ac: -42.84, offset_x_cm for ac: -43.60, filterd_offset_x_cm: -43.43
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32559, curr_params.time_get_image: 15805, offset_y_cm from origin: 56.24, hokan nasi offset_x_cm for ac: -42.84, offset_x_cm for ac: -43.63, filterd_offset_x_cm: -43.48
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -41.96, current_time_ms: 32571, curr_params.time_get_image: 15805, offset_y_cm from origin: 58.24, hokan nasi offset_x_cm for ac: -42.85, offset_x_cm for ac: -43.70, filterd_offset_x_cm: -43.54
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -43.34, current_time_ms: 32583, curr_params.time_get_image: 16037, offset_y_cm from origin: 33.67, hokan nasi offset_x_cm for ac: -43.19, offset_x_cm for ac: -43.08, filterd_offset_x_cm: -43.41
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -43.34, current_time_ms: 32595, curr_params.time_get_image: 16037, offset_y_cm from origin: 34.67, hokan nasi offset_x_cm for ac: -43.36, offset_x_cm for ac: -43.31, filterd_offset_x_cm: -43.38
