--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141401, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141412, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141423, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141434, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141445, curr_params.time_get_image: 55116, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141457, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141468, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141479, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141490, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141501, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141512, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141523, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141534, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141545, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141556, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141567, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141578, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141589, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141600, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
send offset to actuator, curr_params.slope: 0.02, curr_params.bias: -53.47, current_time_ms: 141611, curr_params.time_get_image: 55363, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -53.47, offset_x_cm for ac: -53.47
