--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀rigin: 0.00, hokan nasi offset_x_cm for ac: -46.40, offset_x_cm for ac: -46.38
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154204, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.07, offset_x_cm for ac: -26.07
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154215, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.07, offset_x_cm for ac: -26.07
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154226, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.06, offset_x_cm for ac: -26.06
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154237, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.06, offset_x_cm for ac: -26.06
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154248, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.05, offset_x_cm for ac: -26.05
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154259, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.05, offset_x_cm for ac: -26.05
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154270, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.04, offset_x_cm for ac: -26.05
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154281, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.04, offset_x_cm for ac: -26.04
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154292, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.04, offset_x_cm for ac: -26.04
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154303, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.03, offset_x_cm for ac: -26.03
send offset to actuator, curr_params.slope: -0.00, curr_params.bias: -25.70, current_time_ms: 154314, curr_params.time_get_image: 17373, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -26.03, offset_x_cm for ac: -26.03
