--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
␀40.33, offset_x_cm for ac: -40.32
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109538, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.15, offset_x_cm for ac: -40.15
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109549, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.15, offset_x_cm for ac: -40.15
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109560, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.14, offset_x_cm for ac: -40.14
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109571, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.14, offset_x_cm for ac: -40.14
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109582, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.13, offset_x_cm for ac: -40.13
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109593, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.13, offset_x_cm for ac: -40.13
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109604, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.12, offset_x_cm for ac: -40.13
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109615, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.12, offset_x_cm for ac: -40.12
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109626, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.12, offset_x_cm for ac: -40.12
send offset to actuator, curr_params.slope: 0.03, curr_params.bias: -39.78, current_time_ms: 109637, curr_params.time_get_image: 38352, offset_y_cm from origin: 0.00, hokan nasi offset_x_cm for ac: -40.11, offset_x_cm for ac: -40.11
