send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36389, curr_params.time_get_image: 16751, offset_y_cm from origin: 18.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.90
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36400, curr_params.time_get_image: 16751, offset_y_cm from origin: 19.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.91
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36411, curr_params.time_get_image: 16751, offset_y_cm from origin: 19.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.91
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36422, curr_params.time_get_image: 16751, offset_y_cm from origin: 20.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.93
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36433, curr_params.time_get_image: 16751, offset_y_cm from origin: 21.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.94
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36444, curr_params.time_get_image: 16751, offset_y_cm from origin: 21.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.94
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36455, curr_params.time_get_image: 16751, offset_y_cm from origin: 22.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.95
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36466, curr_params.time_get_image: 16751, offset_y_cm from origin: 23.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.96
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36477, curr_params.time_get_image: 16751, offset_y_cm from origin: 23.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.96
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36488, curr_params.time_get_image: 16751, offset_y_cm from origin: 24.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.97
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36499, curr_params.time_get_image: 16751, offset_y_cm from origin: 24.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.97
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36510, curr_params.time_get_image: 16751, offset_y_cm from origin: 25.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.98
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36521, curr_params.time_get_image: 16751, offset_y_cm from origin: 26.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.99
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36532, curr_params.time_get_image: 16751, offset_y_cm from origin: 26.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -37.99
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36543, curr_params.time_get_image: 16751, offset_y_cm from origin: 27.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -38.00
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36554, curr_params.time_get_image: 16751, offset_y_cm from origin: 27.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -38.00
send offset to actuator, curr_params.slope: 0.01, curr_params.bias: -37.70, current_time_ms: 36565, curr_params.time_get_image: 16751, offset_y_cm from origin: 28.64, hokan nasi offset_x_cm for ac: -37.89, offset_x_cm for ac: -38.01
