--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at http://bit.ly/pio-monitor-filters
_m for ac: -27.55, offset_x_cm for ac: -27.55
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184410, curr_params.time_get_image: 39234, offset_y_cm from origin: 1.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.27
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184421, curr_params.time_get_image: 39234, offset_y_cm from origin: 1.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.27
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184432, curr_params.time_get_image: 39234, offset_y_cm from origin: 1.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.27
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184443, curr_params.time_get_image: 39234, offset_y_cm from origin: 1.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.27
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184454, curr_params.time_get_image: 39234, offset_y_cm from origin: 0.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.23
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184465, curr_params.time_get_image: 39234, offset_y_cm from origin: 0.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.23
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184476, curr_params.time_get_image: 39234, offset_y_cm from origin: 0.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.23
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184487, curr_params.time_get_image: 39234, offset_y_cm from origin: 0.53, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.23
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184498, curr_params.time_get_image: 39234, offset_y_cm from origin: -0.47, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.18
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.20, current_time_ms: 184509, curr_params.time_get_image: 39234, offset_y_cm from origin: -0.47, hokan nasi offset_x_cm for ac: -28.36, offset_x_cm for ac: -28.18
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184521, curr_params.time_get_image: 39474, offset_y_cm from origin: 6.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.33
send offset to actuator, curr_params.slope: 0.04, curr_params.bias: -28.05, current_time_ms: 184532, curr_params.time_get_image: 39474, offset_y_cm from origin: 6.45, hokan nasi offset_x_cm for ac: -28.33, offset_x_cm for ac: -28.33
