send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562228, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.59, offset_x_cm for ac: -63.62
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562239, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.59, offset_x_cm for ac: -63.62
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562250, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.59, offset_x_cm for ac: -63.63
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562261, curr_params.time_get_image: 32130, offset_y_cm from origin: 2.98, hokan nasi offset_x_cm for ac: -63.60, offset_x_cm for ac: -63.63
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562272, curr_params.time_get_image: 32130, offset_y_cm from origin: 1.98, hokan nasi offset_x_cm for ac: -63.60, offset_x_cm for ac: -63.67
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562283, curr_params.time_get_image: 32130, offset_y_cm from origin: 1.98, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.67
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562294, curr_params.time_get_image: 32130, offset_y_cm from origin: 1.98, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.92, current_time_ms: 562305, curr_params.time_get_image: 32130, offset_y_cm from origin: 1.98, hokan nasi offset_x_cm for ac: -63.61, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562317, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.69, offset_x_cm for ac: -63.69
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562328, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.68, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562339, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.68, offset_x_cm for ac: -63.68
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562350, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.67, offset_x_cm for ac: -63.67
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562361, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.66, offset_x_cm for ac: -63.67
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562372, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.66, offset_x_cm for ac: -63.66
send offset to actuator, curr_params.slope: -0.03, curr_params.bias: -63.43, current_time_ms: 562383, curr_params.time_get_image: 32377, offset_y_cm from origin: 1.61, hokan nasi offset_x_cm for ac: -63.65, offset_x_cm for ac: -63.66
